Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",35.9000,16.4500,-90.0000,bottom
"C2","10u","C_0805_2012Metric",35.9000,19.9500,90.0000,bottom
"C3","10u","C_0805_2012Metric",24.5000,17.2000,-90.0000,bottom
"C4","C_Small","C_0805_2012Metric",41.0500,32.9000,180.0000,bottom
"C5","C_Small","C_0805_2012Metric",37.5500,32.9000,0.0000,bottom
"C6","100n","C_0805_2012Metric",22.6375,47.4000,180.0000,bottom
"C7","10u","C_0805_2012Metric",49.3000,48.1000,90.0000,bottom
"D1","Red","LED_1206_KPTR",54.0000,50.8000,-90.0000,bottom
"D2","Green","LED_1206_KPTR",17.2000,50.8000,90.0000,bottom
"J1","HEADER_1x03","Straight_2x03",40.1300,18.3000,180.0000,top
"J2","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",51.6100,8.3200,180.0000,bottom
"J3","HEADER_1x12","Straight_2x12",61.2700,30.4500,0.0000,top
"J4","HEADER_1x12","Straight_2x12",29.9300,9.7000,-90.0000,top
"J5","HEADER_1x12","Straight_2x12",9.3700,30.5700,180.0000,top
"J6","HEADER_1x03","Straight_2x03",19.7300,18.3000,180.0000,top
"J8","HEADER_2x05","Straight_2x05",53.4300,27.8000,180.0000,top
"Q1","BC817-25","SOT-23",15.1625,47.7000,0.0000,bottom
"R1","5k1","R_0805_2012Metric",55.9875,15.9000,0.0000,bottom
"R2","5k1","R_0805_2012Metric",47.0875,15.8000,180.0000,bottom
"R3","1k","R_0805_2012Metric",21.0875,49.4000,0.0000,bottom
"R4","200R","R_0805_2012Metric",51.4000,48.1000,-90.0000,bottom
"R5","200R","R_0805_2012Metric",18.8125,47.3000,180.0000,bottom
"R6","390R","R_0805_2012Metric",14.8000,51.6875,-90.0000,bottom
"SW1","434133025816","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",19.3250,42.7000,-90.0000,top
"U1","NCP1117-3.3","SOT-223-3_TabPin2",30.1500,18.4000,180.0000,bottom
"U2","USBLC6-2SC6","SOT-23-6",48.2000,19.7000,-45.0000,bottom
"U3","ESP32-S3-MINI-1","ESP32-S3-MINI-1",35.5600,42.3000,180.0000,bottom
"Y1","Crystal_Small","ABS07",39.4500,30.8000,0.0000,bottom
